SMILES,Name,IC50,Unit
Cc1cc(C(=O)O)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCCNC1,151,0.5,¦ÌM
CC1CNCCC1Oc1ccccc1-c1ccnc2cc(Cn3c(=O)ccn(CC(F)(F)F)c3=O)sc12,152,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCNCC1F,153,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1OC1CCNCC1F,154,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)SC(C)(C)C4=O)sc23)c1OC1CCCNC1,155,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C(C)C(C)C4=O)sc23)c1OC1CCCNC1,156,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CCC5C4=O)sc23)c1OC1CCCNC1,157,0.5,¦ÌM
CCN1CC(F)C(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)C1,158,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CNCC1F,159,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCNC1C,160,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CN(CCO)CC1F,161,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1OC1CCC(C)NC1,162,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCC(C)NC1,163,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1F,164,0.5,¦ÌM
CCN1CCC(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)C(C)C1,165,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCN(C)CC1C,166,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCNCC1F,167,0.5,¦ÌM
CCN1CC(F)C(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)C1,168,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)OC(C)(C)C4=O)sc23)c1OC1CCCNC1,169,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1OC1CNCC1F,170,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CC(C)(C)C4=O)sc23)c1OC1CCCNC1,171,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CN(C)CC1F,172,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CC2CNC1C2,173,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1OC1CN2CCC1CC2,174,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CC5(CCC5)C4=O)sc23)c1OC1CCCNC1,175,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CN2CCC1CC2,176,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CN2CCC1CC2,177,0.5,¦ÌM
CCN1CC2CC(Oc3c(C)cc(Cl)cc3-c3ccnc4cc(CN5C(=O)C6CC6C5=O)sc34)C1C2,178,0.5,¦ÌM
CCN1CC2CC(Oc3c(C)cc(Cl)cc3-c3ccnc4cc(CN5C(=O)CCC5=O)sc34)C1C2,179,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CN(C2CCC2)CC1F,180,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CN(C(C)C)CC1F,181,0.5,¦ÌM
CCN1CCC(Oc2c(C)cc(Cl)cc2-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)C(C)C1,182,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCN(C)CC1C,183,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CNCC1C,184,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1OC1CNCC1C,185,0.5,¦ÌM
